## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[poor_qc_sample/F11/SRR7657893.sorted.bam] OUTPUT=poor_qc_sample/F11/SRR7657893.sorted.mkdup.bam METRICS_FILE=poor_qc_sample/F11/SRR7657893.sorted.mkdup_metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 13 13:33:39 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4608766	18074259	144895991	13612327	3315589	13281166	428365	0.733069	4930708

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
105.0	0	32	0	42
106.0	0	36	0	36
107.0	0	34	0	32
108.0	0	45	0	52
109.0	0	33	0	35
110.0	0	35	0	25
111.0	0	33	0	25
112.0	0	31	0	39
113.0	0	33	0	50
114.0	0	26	0	36
115.0	0	37	0	24
116.0	0	48	0	30
117.0	0	35	0	27
118.0	0	27	0	44
119.0	0	28	0	31
120.0	0	32	0	23
121.0	0	33	0	26
122.0	0	30	0	34
123.0	0	28	0	24
124.0	0	25	0	34
125.0	0	29	0	21
126.0	0	20	0	24
127.0	0	38	0	32
128.0	0	29	0	30
129.0	0	21	0	23
130.0	0	28	0	25
131.0	0	27	0	16
132.0	0	23	0	21
133.0	0	23	0	17
134.0	0	17	0	16
135.0	0	21	0	25
136.0	0	18	0	20
137.0	0	17	0	19
138.0	0	20	0	17
139.0	0	15	0	16
140.0	0	17	0	16
141.0	0	30	0	17
142.0	0	15	0	12
143.0	0	19	0	17
144.0	0	18	0	15
145.0	0	9	0	15
146.0	0	13	0	18
147.0	0	19	0	16
148.0	0	11	0	10
149.0	0	12	0	12
150.0	0	16	0	12
151.0	0	9	0	20
152.0	0	11	0	13
153.0	0	21	0	19
154.0	0	12	0	20
155.0	0	10	0	13
156.0	0	17	0	12
157.0	0	28	0	5
158.0	0	12	0	15
159.0	0	11	0	15
160.0	0	13	0	14
161.0	0	8	0	11
162.0	0	15	0	19
163.0	0	12	0	12
164.0	0	7	0	9
165.0	0	15	0	16
166.0	0	19	0	17
167.0	0	15	0	9
168.0	0	10	0	9
169.0	0	12	0	12
170.0	0	11	0	4
171.0	0	14	0	5
172.0	0	5	0	16
173.0	0	16	0	16
174.0	0	8	0	9
175.0	0	10	0	10
176.0	0	7	0	7
177.0	0	16	0	10
178.0	0	6	0	11
179.0	0	13	0	11
180.0	0	11	0	12
181.0	0	5	0	4
182.0	0	9	0	6
183.0	0	10	0	5
184.0	0	11	0	6
185.0	0	7	0	7
186.0	0	7	0	5
187.0	0	11	0	11
188.0	0	4	0	6
189.0	0	2	0	7
190.0	0	15	0	9
191.0	0	5	0	7
192.0	0	7	0	10
193.0	0	4	0	6
194.0	0	5	0	6
195.0	0	6	0	5
196.0	0	10	0	7
197.0	0	4	0	6
198.0	0	4	0	7
199.0	0	7	0	8
200.0	0	9	0	4
201.0	0	12	0	8
202.0	0	3	0	6
203.0	0	10	0	2
204.0	0	3	0	9
205.0	0	5	0	2
206.0	0	5	0	4
207.0	0	9	0	7
208.0	0	6	0	7
209.0	0	5	0	6
210.0	0	3	0	2
211.0	0	6	0	5
212.0	0	5	0	5
213.0	0	7	0	5
214.0	0	3	0	5
215.0	0	5	0	12
216.0	0	4	0	6
217.0	0	4	0	5
218.0	0	5	0	3
219.0	0	2	0	3
220.0	0	10	0	7
221.0	0	6	0	3
222.0	0	5	0	8
223.0	0	6	0	7
224.0	0	4	0	8
225.0	0	3	0	4
226.0	0	7	0	2
227.0	0	7	0	6
228.0	0	4	0	5
229.0	0	7	0	8
230.0	0	10	0	1
231.0	0	2	0	3
232.0	0	6	0	4
233.0	0	4	0	0
234.0	0	5	0	3
235.0	0	5	0	2
236.0	0	3	0	1
237.0	0	1	0	2
238.0	0	2	0	2
239.0	0	2	0	4
240.0	0	4	0	4
241.0	0	4	0	1
242.0	0	1	0	4
244.0	0	4	0	2
245.0	0	1	0	2
246.0	0	3	0	4
247.0	0	2	0	2
248.0	0	2	0	2
249.0	0	0	0	3
250.0	0	3	0	1
251.0	0	3	0	2
252.0	0	1	0	2
253.0	0	2	0	2
254.0	0	2	0	2
255.0	0	2	0	1
256.0	0	1	0	3
257.0	0	2	0	1
258.0	0	3	0	1
259.0	0	3	0	4
260.0	0	2	0	3
261.0	0	2	0	2
262.0	0	1	0	4
263.0	0	1	0	3
264.0	0	3	0	2
265.0	0	2	0	3
266.0	0	6	0	2
267.0	0	2	0	4
268.0	0	5	0	0
269.0	0	1	0	2
270.0	0	3	0	5
271.0	0	1	0	3
272.0	0	2	0	1
273.0	0	1	0	1
274.0	0	4	0	9
275.0	0	2	0	1
276.0	0	2	0	0
277.0	0	3	0	1
278.0	0	3	0	6
279.0	0	3	0	2
280.0	0	4	0	2
282.0	0	3	0	0
283.0	0	4	0	0
284.0	0	3	0	3
285.0	0	2	0	1
286.0	0	0	0	4
287.0	0	2	0	2
288.0	0	0	0	4
289.0	0	1	0	1
290.0	0	2	0	4
291.0	0	2	0	1
292.0	0	3	0	0
293.0	0	4	0	1
294.0	0	2	0	5
295.0	0	2	0	3
296.0	0	3	0	2
297.0	0	2	0	5
298.0	0	1	0	0
299.0	0	1	0	1
300.0	0	1	0	3
301.0	0	1	0	5
302.0	0	2	0	4
303.0	0	1	0	2
304.0	0	5	0	3
305.0	0	4	0	1
306.0	0	5	0	2
307.0	0	4	0	1
308.0	0	2	0	0
309.0	0	4	0	1
310.0	0	2	0	1
311.0	0	3	0	0
312.0	0	2	0	2
313.0	0	0	0	1
314.0	0	0	0	1
315.0	0	2	0	3
316.0	0	1	0	3
317.0	0	0	0	2
318.0	0	0	0	3
319.0	0	3	0	1
320.0	0	0	0	1
321.0	0	0	0	2
322.0	0	1	0	1
323.0	0	3	0	3
324.0	0	2	0	0
325.0	0	2	0	3
326.0	0	1	0	2
327.0	0	4	0	2
328.0	0	0	0	1
329.0	0	3	0	1
330.0	0	2	0	0
331.0	0	0	0	1
332.0	0	2	0	1
333.0	0	2	0	2
335.0	0	1	0	0
336.0	0	3	0	1
337.0	0	2	0	1
339.0	0	1	0	1
340.0	0	1	0	3
341.0	0	0	0	2
342.0	0	1	0	0
343.0	0	3	0	2
344.0	0	1	0	2
346.0	0	1	0	2
347.0	0	1	0	3
348.0	0	2	0	1
349.0	0	0	0	1
350.0	0	0	0	1
351.0	0	3	0	1
352.0	0	1	0	3
353.0	0	1	0	1
354.0	0	0	0	2
355.0	0	2	0	0
356.0	0	3	0	1
357.0	0	3	0	1
358.0	0	1	0	0
359.0	0	3	0	1
360.0	0	1	0	0
361.0	0	2	0	0
363.0	0	0	0	3
364.0	0	1	0	0
365.0	0	1	0	1
366.0	0	0	0	1
367.0	0	0	0	4
369.0	0	2	0	0
370.0	0	0	0	1
371.0	0	1	0	0
372.0	0	1	0	3
373.0	0	1	0	1
374.0	0	2	0	0
375.0	0	1	0	1
376.0	0	0	0	2
377.0	0	2	0	1
378.0	0	1	0	1
379.0	0	2	0	0
380.0	0	0	0	1
381.0	0	0	0	2
383.0	0	2	0	0
384.0	0	1	0	0
385.0	0	3	0	0
386.0	0	1	0	1
387.0	0	0	0	2
388.0	0	1	0	3
390.0	0	1	0	1
391.0	0	1	0	2
392.0	0	0	0	1
394.0	0	1	0	1
396.0	0	2	0	0
397.0	0	1	0	2
398.0	0	3	0	0
399.0	0	1	0	0
400.0	0	1	0	2
401.0	0	0	0	1
402.0	0	0	0	3
403.0	0	1	0	1
404.0	0	1	0	0
405.0	0	0	0	1
406.0	0	2	0	0
407.0	0	1	0	0
409.0	0	1	0	0
410.0	0	1	0	2
411.0	0	2	0	2
412.0	0	1	0	0
413.0	0	1	0	2
415.0	0	0	0	1
416.0	0	1	0	0
417.0	0	0	0	1
418.0	0	0	0	1
419.0	0	1	0	0
420.0	0	0	0	1
421.0	0	0	0	1
422.0	0	0	0	2
423.0	0	1	0	2
424.0	0	1	0	2
425.0	0	2	0	0
426.0	0	1	0	0
427.0	0	2	0	1
428.0	0	0	0	1
429.0	0	1	0	1
430.0	0	3	0	1
433.0	0	4	0	0
434.0	0	0	0	1
435.0	0	2	0	1
436.0	0	0	0	1
437.0	0	1	0	1
440.0	0	1	0	0
441.0	0	0	0	1
442.0	0	0	0	1
444.0	0	1	0	2
445.0	0	1	0	1
446.0	0	0	0	1
447.0	0	2	0	1
448.0	0	1	0	0
449.0	0	1	0	0
450.0	0	0	0	1
451.0	0	0	0	1
452.0	0	0	0	1
453.0	0	2	0	0
454.0	0	2	0	2
455.0	0	1	0	0
458.0	0	1	0	0
459.0	0	1	0	0
460.0	0	0	0	2
462.0	0	2	0	0
464.0	0	0	0	1
465.0	0	1	0	2
468.0	0	1	0	0
469.0	0	1	0	2
471.0	0	1	0	0
472.0	0	0	0	1
474.0	0	1	0	0
475.0	0	1	0	1
476.0	0	1	0	1
477.0	0	2	0	1
479.0	0	0	0	1
482.0	0	1	0	0
484.0	0	0	0	1
485.0	0	0	0	1
486.0	0	1	0	0
487.0	0	1	0	2
489.0	0	0	0	1
490.0	0	1	0	0
491.0	0	1	0	1
494.0	0	0	0	1
495.0	0	1	0	2
497.0	0	1	0	0
499.0	0	1	0	1
501.0	0	1	0	1
502.0	0	1	0	0
503.0	0	1	0	1
504.0	0	1	0	0
506.0	0	0	0	1
507.0	0	2	0	0
509.0	0	1	0	0
512.0	0	2	0	1
515.0	0	0	0	1
516.0	0	1	0	0
521.0	0	0	0	1
526.0	0	1	0	0
529.0	0	1	0	0
531.0	0	0	0	1
533.0	0	1	0	0
534.0	0	0	0	1
539.0	0	0	0	1
543.0	0	0	0	1
544.0	0	1	0	0
545.0	0	1	0	1
547.0	0	0	0	1
552.0	0	1	0	1
553.0	0	1	0	0
554.0	0	1	0	0
558.0	0	1	0	0
560.0	0	0	0	1
561.0	0	0	0	1
566.0	0	1	0	1
567.0	0	0	0	1
569.0	0	1	0	0
572.0	0	0	0	1
577.0	0	1	0	1
578.0	0	0	0	1
585.0	0	1	0	0
586.0	0	1	0	1
587.0	0	1	0	0
591.0	0	1	0	0
593.0	0	1	0	0
599.0	0	1	0	0
600.0	0	0	0	1
601.0	0	0	0	1
605.0	0	0	0	1
608.0	0	1	0	1
611.0	0	0	0	1
621.0	0	0	0	1
622.0	0	1	0	0
623.0	0	1	0	0
626.0	0	1	0	0
628.0	0	0	0	1
629.0	0	1	0	2
630.0	0	1	0	0
631.0	0	0	0	1
633.0	0	0	0	1
635.0	0	0	0	1
640.0	0	1	0	0
643.0	0	1	0	0
648.0	0	3	0	0
649.0	0	1	0	0
654.0	0	0	0	1
655.0	0	0	0	1
656.0	0	0	0	1
668.0	0	0	0	1
670.0	0	0	0	1
672.0	0	1	0	0
676.0	0	1	0	0
677.0	0	1	0	0
681.0	0	1	0	2
686.0	0	0	0	1
688.0	0	1	0	0
690.0	0	0	0	1
697.0	0	1	0	1
698.0	0	2	0	0
707.0	0	1	0	0
715.0	0	0	0	1
716.0	0	1	0	0
718.0	0	0	0	1
728.0	0	0	0	1
730.0	0	1	0	0
737.0	0	0	0	1
738.0	0	1	0	0
743.0	0	0	0	1
744.0	0	0	0	1
747.0	0	1	0	0
753.0	0	0	0	1
754.0	0	1	0	0
759.0	0	1	0	0
765.0	0	1	0	0
768.0	0	1	0	0
770.0	0	0	0	1
776.0	0	0	0	1
782.0	0	1	0	0
788.0	0	1	0	0
796.0	0	0	0	1
800.0	0	0	0	1
802.0	0	0	0	1
805.0	0	0	0	1
808.0	0	0	0	1
809.0	0	1	0	0
813.0	0	0	0	1
817.0	0	0	0	1
823.0	0	1	0	0
825.0	0	2	0	0
828.0	0	2	0	1
829.0	0	1	0	0
846.0	0	1	0	0
848.0	0	0	0	1
858.0	0	0	0	1
870.0	0	1	0	0
878.0	0	1	0	0
886.0	0	0	0	1
888.0	0	0	0	1
908.0	0	1	0	0
910.0	0	1	0	0
917.0	0	0	0	1
940.0	0	1	0	0
944.0	0	0	0	1
966.0	0	1	0	0
980.0	0	0	0	1
997.0	0	1	0	0
1008.0	0	0	0	1
1028.0	0	1	0	0
1045.0	0	0	0	1
1069.0	0	1	0	0
1076.0	0	0	0	1
1083.0	0	0	0	1
1095.0	0	0	0	1
1101.0	0	1	0	0
1111.0	0	1	0	0
1115.0	0	1	0	0
1236.0	0	0	0	1
1263.0	0	1	0	0
1311.0	0	0	0	1
1350.0	0	1	0	0
1372.0	0	0	0	1
1399.0	0	0	0	1
1401.0	0	1	0	0
1435.0	0	1	0	0
1490.0	0	0	0	1
1527.0	0	1	0	0
1638.0	0	0	0	1
1676.0	0	1	0	0
1716.0	0	0	0	1
1759.0	0	1	0	0
1958.0	0	0	0	1
1997.0	0	1	0	0

